family,Genus,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism
cercopithecidae,papio,ursinus,NA,Yes,"F: poorly developed mane grueter 2015, F: less developed mane, shorter muzzle",Mane,M,Yes,incon,"infants are black, change by age 1 rowe 601, infants have short mostly uniform black hairs hill",Yes,Partial,Body,M,"F: some subspecies are duller, dont have dark hair on extremities hill",1
cercopithecidae,presbytis,comata,NA,No,NA,NA,NA,Yes,incon,"incon or con to both treves 40, whitish with a dark stripe on the back oates et al, ruhiyat",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,femoralis,NA,No,NA,NA,NA,No,maybe,"whitish with a dark stripe on the back oates et al, i think",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,frontata,NA,No,NA,NA,NA,Yes,con to both,"may be femoralis. con to both treves 40,52, white with dark stripe, probably",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,hosei,NA,No,NA,NA,NA,Yes,con to both,"infants are white with a darker spinal stripe rowe 543 medway, incon or con to both treves 40",Yes,Partial,Head,F,"females of hosei subspecies have a darker head rowe 543, medway",1
cercopithecidae,presbytis,melalophos,NA,No,NA,NA,NA,Yes,con to both,"neonates are white with a dark stripe down the back and across the shoulders rowe 602, con to both treves 40,52,53, white young with dark cruciger pattern aimi, ruhiyat",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,potenziani,NA,No,NA,NA,NA,Yes,con to both,"whitish gray with a dark stripe down the back rowe 840 couldnt find in source, con to both treves 40,50,54, infants are orange medway, infants are golden groves",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,rubicunda,NA,No,NA,NA,NA,Yes,con to both,"con to both dorsal tail changes first treves 33,40, whitish with a dark stripe on the back oates et al",No,NA,NA,NA,NA,0
cercopithecidae,presbytis,thomasi,NA,No,NA,NA,NA,Yes,con to both,"incon or con to both treves 40,52, white with dark stripe on back",No,NA,NA,NA,NA,0
cercopithecidae,procolobus,badius,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 33,55,40, temminckii: generally light beige or grey, lighter than adults, less orange. badius: grey back, white ventrum, no black on tail. tephrosceles: black with gray ventrum struhsaker",No,NA,NA,NA,NA,0
cercopithecidae,procolobus,pennantii,NA,No,NA,NA,NA,No,maybe,NA,No,NA,NA,NA,NA,1
cercopithecidae,procolobus,preussi,NA,No,NA,NA,NA,Yes,incon,"black dorsum not smoky, ventrum lighter grey, no sandy color, grey on limbs, sides, and tail struhsaker",No,NA,NA,NA,NA,0
cercopithecidae,procolobus,rufomitratus,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 40,55, completely dark without any red, orange, or brown struhsaker",No,NA,NA,NA,NA,1
cercopithecidae,procolobus,verus,NA,No,NA,NA,NA,Yes,incon,"infants are darker rowe 635, incon to both treves 40, oates",No,NA,NA,NA,NA,1
cercopithecidae,pygathrix,cinerea,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cercopithecidae,pygathrix,nemaeus,NA,Yes,"M: longer white hair around the face, a beard lippold",Head,M,Yes,incon,"infants are gray with a black face and two pale stripes beneath the eyes napier, no treves 50, lippold",Yes,Partial,Body,F,"M: wider white cuffs on the arm, two circular white spots above the white rump patch lippold",1
cercopithecidae,pygathrix,nigripes,NA,Yes,"whiskers/goatee longer in males grueter 2015, lippold",Head,M,Yes,incon,"infants are gray with a black face and two pale stripes beneath the eyes napier, lippold",Yes,Partial,Body,F,two circular white spots above the white rump patch lippold,1
cercopithecidae,rhinopithecus,avunculus,NA,Yes,"Male body fur slightly fuller, Longer corkscrew hair on male tail, male has a more fully developed ruff around face grueter",Multiple,M,Yes,incon,"brown whitish gray and gradually darken rowe 75, boonratana, the head, ventral and medial aspects are white, the dorsal aspects are black, the collar region is a faint yellow chaplin",Yes,Partial,Multiple,F,"orange throat patch, creamy white hair on tail, and dark coloration around the mouth is more prominent in males boonratana",1
cercopithecidae,rhinopithecus,bieti,NA,Yes,"males have longer hair on back and thighs grueter 2015, cape is longer in males chaplin","Cape,Body",M,Yes,incon,"“a dark flat cap and a white or pale gray coat with a yellow or red tint on their bodies” WL2019, adult coat develops from head to tail chaplin",Yes,Partial,Multiple,F,males are more contrastingly colored grueter 2015,1
cercopithecidae,rhinopithecus,brelichi,NA,Yes,M: slightly longer capes chaplin,Cape,M,Yes,incon,infants are gray rowe 80,Yes,Partial,Multiple,F,"M: white patch between shoulders rowe 80, red hair on back of head, gingery-red underside of limbs grueter 2015",1
cercopithecidae,rhinopithecus,roxellana,NA,Yes,"males have granulomatous flanges on the side of the mouth (probably the lip warts) rowe 80, longer hair on shoulders in males chaplin",Cape,M,Yes,con to both,"con to both, cheeks, outer arms change first treves 56, dorsum dark gray ventrum whitish gray rapaport, have a phase where they are pure gold in color before becoming darker as adults chaplin",No,NA,NA,NA,NA,1
cercopithecidae,semnopithecus,entellus,NA,Yes,"s.e.achates: male facial hair longer, s.e.schistaceus: male facial hair longer, s.e.ajax: ruff around head is fuller in males grueter, dont know what their specific source is",Head,M,Yes,con to both,"s.e.hypoleucus incon to both treves 40, other subspecies con to both crown, head, beard first treves 33,40,57, blackish brown coloration of young infants oates et al, brown coat color jay",No,NA,NA,NA,NA,1
cercopithecidae,theropithecus,gelada,NA,Yes,"long capes, Male has long cape of shoulder hair, long hair on top and sides of head grueter 2015",Cape,M,Yes,incon,"incon to both head changes first treves 7,12,49, dark smoky brown with basal third of the dorsal hairs greyish hill",Yes,Partial,Cape,M,"males have darker capes rowe 601, females in one subspecies more fulvous, maybe different but might be individual variation hill",1
cercopithecidae,trachypithecus,johnii,NA,No,NA,NA,NA,Yes,con to both,"incon or con to both treves 40,50,61, poirier 1986 b struhsaker, “The hair is reddish-brown until 10 weeks old, then it turns dark black. The pink skin darkens, and the hair tuft develops at 14 weeks. By 10 days old, female infants have a white hair patch on their thighs.” poirier",Yes,Partial,Pubis,M,females have a white pubic patch poirier,1
cercopithecidae,trachypithecus,vetulus,NA,No,NA,NA,NA,Yes,incon,"infants are gray with a brownish tinge rowe 718, incon to both treves 13,40,63, like badius struhsaker, rudran",No,NA,NA,NA,NA,1
cercopithecidae,trachypithecus,auratus,NA,No,NA,NA,NA,Yes,con to both,"infants are orange rowe 130, brandon-jones",Yes,Partial,Pubis,M,"F: pale pubic patch, whitish yellow brandon-jones",1
cercopithecidae,trachypithecus,cristatus,NA,No,NA,NA,NA,Yes,con to both,"infants are born orange rowe 654, con to both, s.c.ultimas head, tail changed first treves 21,54, struhsaker (bernstein 1968), orange all over grey starts from hands, feet, head and tail medway",Yes,Partial,Pubis,M,"females have pale pubic patch fooden, roonwal",1
cercopithecidae,trachypithecus,delacouri,NA,No,NA,NA,NA,Yes,incon,infants are brownish and have more white on their head rowe 595,Yes,Partial,Pubis,M,females have a white pubic patch brandon-jones,0
cercopithecidae,trachypithecus,francoisi,NA,No,NA,NA,NA,Yes,con to both,"orange (t.f.francoisi), look at specific subspecies, con to both, head limbs first to change treves 29,52,58-60, francoisi and poliocephalus hendershott, leucophalus burton",Yes,Partial,Pubis,M,"F: pale pubic patch, whitish yellow brandon-jones",1
cercopithecidae,trachypithecus,geei,NA,No,NA,NA,NA,Yes,con to both,"orange, brown or gray rowe 46, con to both treves 40",Yes,Partial,Tail,M,"tail is different MUKHERJEE and SAHA (1978), females are paler",1
cercopithecidae,trachypithecus,obscurus,NA,No,"“ontogenetic hair change” (molecular), probably just the natal coat change",NA,NA,Yes,con to both,"orange yellow change to adult within 9 months rowe 385, con to both (may also be phayrei) tail dorsal changes first, treves 15,40,50, uniform pale orange brown medway, orange yellow with white hair on face, head then hands change first orange to grey horwich",Yes,Partial,Pubis,F,"pale pubic patch, maybe",1
cercopithecidae,trachypithecus,phayrei,NA,Yes,ocular region is differently shaped M: more circular F: more diamond shaped bhattacharya,Head,Both,Yes,con to both,"neonates are “straw colored” roonwal, yellow-orange stanford",Yes,Partial,Pubis,M,females have pale pubic patch fooden,1
cercopithecidae,trachypithecus,pileatus,NA,No,NA,NA,NA,Yes,con to both,"infants are creamy orange white with a pink face, by 5-14 months have adult color pattern, but still lighter than adults stanford rowe 772, con to both treves 40,62, infants are cream colored islam",Yes,Partial,Body,M,females less blue tint on hindquarters and thighs,1
cheirogaleidae,allocebus,trichotis,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cheirogaleidae,cheirogaleus,major,NA,No,NA,NA,NA,No,maybe,"c.m.major maybe incon treves 67, young said to be mouse grey hill",No,NA,NA,NA,NA,1
cheirogaleidae,cheirogaleus,medius,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cheirogaleidae,microcebus,murinus,NA,No,NA,NA,NA,No,NA,no treves 66,No,NA,NA,NA,NA,1
cheirogaleidae,microcebus,myoxinus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cheirogaleidae,microcebus,rufus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cheirogaleidae,mizra,coquereli,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cheirogaleidae,phaner,furcifer,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
daubentoniidae,daubentonia,madagascariensis,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
galagonidae,euoticus,elegantulus,NA,No,NA,NA,NA,No,no,"more gray all over, look for more specific description, maybe rowe 608, dont think it actually has a natal coat",No,NA,NA,NA,NA,0
galagonidae,euoticus,pallidus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
galagonidae,sciurocheirus,alleni,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
galagonidae,galago,gallarum,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
galagonidae,galago,matschiei,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
galagonidae,galago,moholi,NA,No,NA,NA,NA,No,NA,no treves 67,No,NA,NA,NA,NA,1
galagonidae,galago,senegalensis,NA,No,NA,NA,NA,No,NA,no treves 67,No,NA,NA,NA,NA,1
galagonidae,galagoides,demidoff,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
galagonidae,galagoides,thomasi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
galagonidae,galagoides,zanzibaricus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
galagonidae,otolemur,crassicaudatus,NA,No,NA,NA,NA,No,NA,no treves 67,No,NA,NA,NA,NA,1
galagonidae,otolemur,garnettii,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
hominidae,gorilla,beringei,NA,No,NA,NA,NA,Yes,incon,"no treves 64, the color was browner in infants, there was a white tail tuft that developed by month 12 and disappeared by month 36 according to fossey who contradicted another researcher",Yes,Partial,Body,F,"M: silvery white back and gray hips rowe 333, groves",1
hominidae,gorilla,gorilla,NA,Yes,brown sagittal crest,Head,M,Yes,incon,"White tail tuft; brown haired crown; amount, texture, and distribution of hair alley",Yes,Partial,Body,F,"M: brown sagittal crest, silvery color on back, rump and thighs rowe 333, groves",1
hominidae,pan,paniscus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
hominidae,pan,troglodytes,NA,Yes,"pattern of balding, detailed in groves",Head,F,Yes,incon,"infants have a white tail tuft and a pink to brown face rowe 900, no treves 33,65, miller, pattern of face color varies by subspecies groves, goodall (i did not add them to the bibliography but they are her large monographs)",No,NA,NA,NA,NA,1
hylobatidae,hoolock,hoolock,NA,Yes,"male has small preputial tuft grueter, mootnick, (75 mm long) marshall",Pubis,M,Yes,Con to dad,"neonates are milky white, females change as subadults rowe 12, infants are fair no contrast to mom con to dad, juveniles are black treves 2,3,5,6, choudhury, mootnick, marshall",Yes,Complete,NA,M,"M: black with white eyebrows, F: copper tan with whitish eyebrow band, whitish hair around the face and brown cheeks rowe 984, mootnick, marshall",1
hylobatidae,nomascus,concolor,NA,No,NA,NA,NA,Yes,Con to dad,"infants born yellow, both sexes change to black at 6 months rowe 987, infants con to dad, hands and feet change first treves 2-4, born grey yellow or dark brown changes to black at 6 months zhenhe, start changing at fingers, toes, and face ring mootnick",Yes,Complete,NA,M,"M: black. F: variable by subspecies, brown buff, buff, or gray with brown to black accents rowe 987, h.c.hainanus females range from cream to brown treves 2-4 zhenhe",0
hylobatidae,nomascus,gabriellae,NA,No,NA,NA,NA,Yes,Con to dad,infants whitish buff rowe 286,Yes,Complete,NA,M,"M: black. F: buffy rowe 286, males have reddish gold cheek hair grueter 2015, mootnick",0
hylobatidae,nomascus,leucogenys,NA,Yes,"crown crests on their heads geismann 2000, mootnick",Head,M,Yes,Con to dad,"whitish buff coat rowe 988, both sexes turn black by 2 years of age, mootnick",Yes,Complete,NA,M,"M: black with white fur on their cheeks. F: golden or buff with white halo around their face rowe 988, groves 2001, geissmann 2000, mootnick",1
hylobatidae,symphalangus,syndactylus,NA,Yes,"males have a long scrotal tuft rowe 118, grueter 2015, 135 mm in length marshall",Pubis,M,No,NA,"no treves 2,7",No,NA,NA,NA,NA,1
hylobatidae,hylobates,agilis,NA,Yes,"cheek hair is longer in males grueter, longer genital tuft in males (50 mm) marshall, mootnick","Head,Pubis",M,Yes,incon,"contrast varies, infants have face ring treves 1-3, “a.a.albibarbis offspring become same color as same-sex adults”, marshall",Yes,Partial,Multiple,F,"M: also have white cheeks, males have complete face ring, pubic tuft is tawny in albibarbis F: only have white eyebrows, pubic tuft is dark brown in albibarbis marshall, grueter, mootnick",0
hylobatidae,hylobates,klossii,NA,No,NA,NA,NA,No,NA,"no treves 2,7",No,NA,NA,NA,NA,0
hylobatidae,hylobates,lar,NA,No,NA,NA,NA,No,NA,"asexually polychromatic treves 2,3,8",No,NA,NA,NA,NA,1
hylobatidae,hylobates,moloch,NA,No,NA,NA,NA,Yes,incon,"infants are lighter rowe 996, no treves 2,7, turn to grey shortly after birth mootnick, marshall",No,NA,NA,NA,NA,1
hylobatidae,hylobates,muelleri,NA,No,"males genital tuft is 25 mm long mootnick, which is not longer than adjacent fur marshall",NA,NA,Yes,con to both,"varies treves 2,3,8, infants are lighter mootnick, can either look like adults, have a broad whitish or gray face ring, or be buff all over marshall",Yes,Partial,Head,F,"M: pale, incomplete face ring. F: can be darker rowe 118, grueter",0
hylobatidae,hylobates,pileatus,NA,Yes,"white pubic tuft in males grueter 2015, mootnick",Pubis,M,Yes,Con to dad,"cream-colored fur, sub-adult males look like females until maturity, rowe 999, con to dad, infants grey to buff chest, crown or center of chest first to change, mootnick treves 1-3",Yes,Complete,NA,M,"M: black with white accents. F: silver buff with black accents rowe 999, mootnick",1
indridae,avahi,laniger,NA,No,NA,NA,NA,Yes,incon,"rowe 580, 898, 909, incon to both treves 67, less rufous than adults, ashy-gray above, whitish below",No,NA,NA,NA,NA,1
indridae,indri,indri,NA,No,NA,NA,NA,Yes,con to both,"born with pigmented coats that later develop patterns tapanes, Infants are extremely dark or completely black and develop whiter areas between 4 and 6 months of age.",No,NA,NA,NA,NA,1
indridae,propithecus,diadema,NA,No,NA,NA,NA,No,no,"look at rowe 580, irwin 2006. no treves 66 (this has to be the wrong source), juveniles are paler, frontal band is yellower, limbs lighter yellow hill",No,NA,NA,NA,NA,0
indridae,propithecus,tattersalli,NA,No,NA,NA,NA,No,NA,no treves 71,No,NA,NA,NA,NA,0
indridae,propithecus,verreauxi,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 67,68, infants entirely white except for dark brown spot on crown and occasional rufous wash on ventral hill",No,NA,NA,NA,NA,0
lemuridae,eulemur,coronatus,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Head,M,"M: dark gray brown back and dark tail, v on head is orange and orange extends around the face and has black on the side. F: light gray",1
lemuridae,eulemur,fulvus,e. fulvus fulvus is not as sexually dichromatic as other subspecies,Yes,females tend to have less fullness in the hair on their crown and beard,Head,M,Yes,con to mom,"infants are the color of adult males, no treves 68, e.f.rufus born with male color",Yes,Partial,Head,Varies,"head pattern in gender between sub-species vary rowe 580, table in cooper and hosey 2003 has all the subspecies",0
lemuridae,eulemur,flavifrons,NA,Yes,males have a tuft of hair from the forehead to the back of the head mitt1994,Head,M,Yes,con to mom,"sexual dichrom in neonates treves 69,70, females must have white ear tuft, infants are brownish black, female tails turn reddish orange after week 4, males are black tailed",Yes,Complete,NA,M,"orange?? not explicitly described in rowe, females are paler than e.macaco macaco, rufus to tan back, white ventrum, reddish beard and dark extremities mitt1994",0
lemuridae,eulemur,macaco,NA,Yes,long white ear tufts in females,Head,F,Yes,NA,"sex dichrom in neonates treves 67,70, e.m.sanfordi no treves 67, infants of both sex start black, females become more brightly colored hill, female infants have the white ear tuft colquhoun",Yes,Complete,NA,M,"M: all black. F: brown back, white underpants, gray head, long white ear tufts *rowe 580,  females range from light golden brown to dark chestnut brown tatterstall",0
lemuridae,eulemur,mongoz,NA,No,NA,NA,NA,Yes,Con to dad,infants look like females up to a few months tattersall,Yes,Complete,NA,M,"M: gray brown back and red hair around the face. F: gray to brown back, white beard, and dark gray face",0
lemuridae,eulemur,rubriventer,NA,No,NA,NA,NA,No,no,differ from adults in its entirely rufous head and blackish nose hill,Yes,Partial,"Head,Pubis",Varies,M: white patches below the eyes. F: white underparts and reduced white patches,0
lemuridae,hapalemur,aureus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
lemuridae,hapalemur,griseus,NA,No,NA,NA,NA,Yes,incon,"juveniles reddish-yellow below hill, grey face mask",No,NA,NA,NA,NA,0
lemuridae,prolemur,simus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
lemuridae,lemur,catta,NA,No,NA,NA,NA,No,NA,"no treves 67,68,71",No,NA,NA,NA,NA,0
lemuridae,varecia,variegata,NA,No,NA,NA,NA,No,NA,no treves 67,No,NA,NA,NA,NA,0
lorisidae,arctocebus,aureus,NA,No,NA,NA,NA,Yes,incon,"darker coats rowe, hill 1963 incon to both",No,NA,NA,NA,NA,0
lorisidae,arctocebus,calabarensis,NA,No,NA,NA,NA,Yes,incon,"contrasting reports in treves from hill 1953, maybe incon to both treves 67, im gonna go with yes, darker coats that lighten with age",No,NA,NA,NA,NA,0
lorisidae,loris,tardigradus,"NC: lydekkerianus, nordicus, nycticeboides, tardigradus",No,NA,NA,NA,Yes,incon,"l.t.grandis incon to dad (females and infants darker hill), l.t.lydekkerianus incon to both (silver-gray dorsal, white ventral hill), l.t.nordicus incon to both (infants similar to ydekkerianus hill), l.t.nycticeboides incon to mom (dark gray hill), l.t.tardigradus incon to both (slaty-gray dorsum, white ventral, chestnut patches around the eyes hill)",Yes,Complete,NA,Varies,"nycticeboides F:paler, tardigradus M:russet F: more brown, grandis M:dark grey or brown grey on the dorsum, white ventral F: darker",1
lorisidae,nycticebus,coucang,NA,No,NA,NA,NA,Yes,incon,"gray body, silvery white limbs with long hairs* rowe 704, maybe incon to both treves 46,67, may only be one subspecies, but it seems to have been present in acharjyo, aposematism to warn against predators (Nekaris 2019)",No,NA,NA,NA,NA,0
lorisidae,nycticebus,pygmaeus,NA,No,NA,NA,NA,Yes,incon,"incon to both treves, darker orbital ring in juveniles, interocular strip is yellowish, more of a cinnamon color all over hill",No,NA,NA,NA,NA,1
lorisidae,perodicticus,potto,NA,No,NA,NA,NA,Yes,incon,"p.p.edwardsi incon to both (juveniles have a silvery coat head changes first hill), p.p.ibeanus incon to both (woolly-coated , whitish with faint cinnamon wash hill), p.p.juju no , p.p.potto no contrast (juveniles darker hill) treves 67, unclear subspecies incon to bot treves 73,  full description of single infant in walker 1968 page",No,NA,NA,NA,NA,0
megaladapidae,lepilemur,dorsalis,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
megaladapidae,lepilemur,edwardsi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
megaladapidae,lepilemur,leucopus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
megaladapidae,lepilemur,microdon,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
megaladapidae,lepilemur,mustelinus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
megaladapidae,lepilemur,ruficaudatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
megaladapidae,lepilemur,septentrionalis,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
pongidae,pongo,abelii,NA,Yes,"male cheek pads are covered with fine white hair rowe 512, beards are longer in flanged males, longer hair on shoulders and body grueter 2015, beards and a well developed mustache groves",Multiple,M,No,NA,NA,Yes,Partial,Head,F,male cheek pads are covered with fine white hair rowe 512,1
pongidae,pongo,pygmaeus,NA,Yes,"rowe 112, beards are longer in males, “Male’s beard is much larger than female’s, much longer hair on shoulders and body” grueter 2015",Multiple,M,No,maybe,NA,No,NA,NA,NA,NA,1
tarsiidae,tarsius,bancanus,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 73, more uniformly colored, no rufous markings, golden wash on face and rump hill vol.2",No,NA,NA,NA,NA,0
tarsiidae,tarsius,dentatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
tarsiidae,tarsius,pumilus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
tarsiidae,tarsius,tarsier,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
tarsiidae,tarsius,syrichta,NA,No,NA,NA,NA,Yes,incon,"maybe incon to both treves 73,74, infants are more uniformly colored than adults, butt is paler hill vol.2",No,NA,NA,NA,NA,1
